# CATÁLOGO COMPLETO DE ESIMS - TRAVELBDS
# Atualizado em: 29/01/2026
# Total de Produtos: 11 | Total de Variantes: 156

================================================================================

## ESIM ARGENTINA
| Dias     | GB    | Preço (R$) |
|----------|-------|------------|
| 5 dias   | 5GB   | 132.00 (USD $25.43) |
| 5 dias   | 10GB  | 165.00 (USD $31.79) |
| 5 dias   | 20GB  | 248.00 (USD $47.78) |
| 10 dias  | 5GB   | 138.00 (USD $26.59) |
| 10 dias  | 10GB  | 176.00 (USD $33.91) |
| 10 dias  | 20GB  | 270.00 (USD $52.02) |
| 15 dias  | 5GB   | 149.00 (USD $28.71) |
| 15 dias  | 10GB  | 187.00 (USD $36.03) |
| 15 dias  | 20GB  | 281.00 (USD $54.14) |
| 30 dias  | 5GB   | 160.00 (USD $30.83) |
| 30 dias  | 10GB  | 198.00 (USD $38.15) |
| 30 dias  | 20GB  | 297.00 (USD $57.23) |

================================================================================

## ESIM ÁSIA
| Dias     | GB        | Preço (R$) |
|----------|-----------|------------|
| 5 dias   | 5GB       | 110.00 (USD $21.19) |
| 5 dias   | 10GB      | 164.00 (USD $31.60) |
| 5 dias   | 20GB      | 220.00 (USD $42.39) |
| 5 dias   | Ilimitado | 242.00 (USD $46.63) |
| 10 dias  | 5GB       | 143.00 (USD $27.55) |
| 10 dias  | 10GB      | 187.00 (USD $36.03) |
| 10 dias  | 20GB      | 242.00 (USD $46.63) |
| 10 dias  | Ilimitado | 297.00 (USD $57.23) |
| 15 dias  | 5GB       | 165.00 (USD $31.79) |
| 15 dias  | 10GB      | 209.00 (USD $40.27) |
| 15 dias  | 20GB      | 259.00 (USD $49.90) |
| 15 dias  | Ilimitado | 425.00 (USD $81.89) |
| 30 dias  | 5GB       | 187.00 (USD $36.03) |
| 30 dias  | 10GB      | 220.00 (USD $42.39) |
| 30 dias  | 20GB      | 275.00 (USD $52.99) |
| 30 dias  | Ilimitado | 480.00 (USD $92.49) |

================================================================================

## ESIM BALCÃS
| Dias     | GB    | Preço (R$) |
|----------|-------|------------|
| 5 dias   | 5GB   | 121.00 (USD $23.31) |
| 5 dias   | 10GB  | 165.00 (USD $31.79) |
| 5 dias   | 20GB  | 275.00 (USD $52.99) |
| 10 dias  | 5GB   | 138.00 (USD $26.59) |
| 10 dias  | 10GB  | 193.00 (USD $37.19) |
| 10 dias  | 20GB  | 303.00 (USD $58.38) |
| 15 dias  | 5GB   | 160.00 (USD $30.83) |
| 15 dias  | 10GB  | 215.00 (USD $41.43) |
| 15 dias  | 20GB  | 330.00 (USD $63.58) |
| 30 dias  | 5GB   | 176.00 (USD $33.91) |
| 30 dias  | 10GB  | 242.00 (USD $46.63) |
| 30 dias  | 20GB  | 358.00 (USD $68.98) |

================================================================================

## ESIM CARIBE
| Dias     | GB    | Preço (R$) |
|----------|-------|------------|
| 5 dias   | 5GB   | 187.00 (USD $36.03) |
| 5 dias   | 10GB  | 275.00 (USD $52.99) |
| 5 dias   | 20GB  | 385.00 (USD $74.18) |
| 10 dias  | 5GB   | 204.00 (USD $39.31) |
